symbol,revenue_cagr,profit_cagr,revenue_growth_1y,roce,roe,profit_margins,opm,debt_to_equity,current_ratio,pe_ratio,price_to_book,promoter_holding,efficient,low_debt,strong_promoter,high_growth,profitable,label
PIIND,8.0,10.0,,22.0,20.0,,,0.1,,28.0,,52.0,,,,,,
KAYNES,34.2,45.5,,14.3,10.7,,,0.6,,60.8,,63.6,,,,,,
TDPOWERSYS,13.9,21.7,,30.4,22.3,,,0.2,,61.4,,58.5,,,,,,
EPIGRAL,5.0,0.4,,25.1,22.6,,,0.4,,11.3,,71.3,,,,,,
WAAREEENER,29.6,57.0,,34.9,27.4,,,0.5,,25.4,,64.3,,,,,,
RELIANCE,3.2,1.5,,9.69,8.4,,,0.4,,23.8,,50.4,,,,,,
INFY,1.9,1.9,,37.5,28.8,,,0.1,,18.3,,15.1,,,,,,
HDFCBANK,25.3,10.8,,7.51,14.4,,,0.6,,15.5,,25.5,,,,,,
ASIANPAINT,-0.6,-3.7,,25.7,20.6,,,0.2,,51.0,,52.6,,,,,,
BAJAJFINSV,18.0,11.4,,11.0,13.4,,,2.4,,26.8,,60.8,,,,,,
TITAN,14.2,0.9,,19.1,35.0,,,0.1,,85.0,,52.9,,,,,,
ZOMATO,65.0,80.0,,5.0,4.0,,,0.0,,220.0,,0.0,,,,,,
